form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00707232,500506469,,,ORG,ActBlue Technical Services,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-05-31,0.10,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506489,,,ORG,Station 4,,,,,,1101 4Th St SW,,Washington,DC,200244457,,,2024-05-03,272.10,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506490,,,ORG,Tee's Country Bakes,,,,,,2624 Star Manor St,,North Las Vegas,NV,890303715,,,2024-05-09,2500.00,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506555,,,ORG,The Westin - Henderson,,,,,,101 Montelago Blvd,,Henderson,NV,890113203,,,2024-05-22,1298.87,0.00,Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506556,,,ORG,The Westin - Henderson,,,,,,101 Montelago Blvd,,Henderson,NV,890113203,,,2024-05-22,10.13,0.00,Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506492,,,ORG,Think Rubix & Company,,,,,,1301 K St NW,Ste 300W,Washington,DC,200057043,,,2024-05-02,4500.00,0.00,Communications Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506493,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-01,8.72,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506494,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-02,12.42,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506495,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-02,30.15,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506496,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-02,7.25,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506497,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-02,9.02,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506498,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-02,20.99,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506499,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-02,16.78,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506500,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-03,13.94,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506501,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-03,8.53,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506502,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-03,39.68,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506503,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-03,33.73,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506504,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-03,139.36,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506505,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-06,11.21,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506506,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-06,16.92,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506507,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-06,19.96,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506508,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-06,37.88,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506509,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-06,59.01,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506510,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-06,43.54,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506511,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-06,45.80,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506512,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-07,141.15,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506513,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-08,10.99,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506514,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-09,17.95,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506515,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-10,10.95,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506516,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-14,10.99,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506517,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-14,35.98,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506518,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-15,12.24,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506519,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-15,6.47,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506520,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-15,26.04,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506521,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-15,14.97,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506522,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-16,12.38,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506523,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-16,8.50,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506524,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-17,13.90,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506525,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-20,7.25,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506526,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-20,19.90,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506527,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-20,20.60,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506528,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-20,114.63,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506529,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-20,31.57,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506530,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-20,5.00,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506531,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-20,71.80,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506532,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-21,10.95,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506533,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-21,25.63,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506534,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-28,15.83,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506535,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-28,14.94,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506536,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-28,32.58,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506537,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-28,31.29,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506538,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-28,14.08,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506539,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-28,10.10,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506540,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-28,21.84,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506541,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-29,15.36,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506542,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-29,10.17,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506543,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-29,16.14,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506544,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-29,5.00,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506545,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-29,42.10,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506546,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-29,5.00,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506547,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-30,89.05,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506548,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-30,117.27,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506549,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-31,29.72,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506550,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-05-31,20.85,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506551,,,ORG,United Airlines,,,,,,PO Box 6649,,Chicago,IL,606060649,,,2024-05-03,472.54,0.00,Air Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506552,,,ORG,United Airlines,,,,,,PO Box 6649,,Chicago,IL,606060649,,,2024-05-24,349.48,0.00,Air Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506553,,,ORG,United Airlines,,,,,,PO Box 6649,,Chicago,IL,606060649,,,2024-05-24,296.00,0.00,Air Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506554,,,ORG,United Airlines,,,,,,PO Box 6649,,Chicago,IL,606060649,,,2024-05-24,45.99,0.00,Air Travel,,,,,,,,,,,,,,,,,,,,
