form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00471540,500189293,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,2019.89,0.00,In-kind: staff time/grassroots organizing,011,C00655613,,,LEE,SUSIE,,,,H,NV,03,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189294,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,2019.89,0.00,In-kind: staff time/grassroots organizing,011,C00668228,,,HORSFORD,STEVEN,ALEXZANDER,,,H,NV,04,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189295,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,2329.57,0.00,In-kind: staff time/grassroots organizing,011,C00606939,,,ROSEN,JACKY,,,,S,NV,00,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189297,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,2790.48,0.00,In-kind: staff time/grassroots organizing,011,C00591065,,,EVANS,DWIGHT,,,,H,PA,03,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189298,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,3849.03,0.00,In-kind: staff time/grassroots organizing,011,C00431056,,,CASEY,ROBERT P JR,,,,S,PA,,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189299,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,850.00,0.00,In-kind: staff time/grassroots organizing,011,C00875153,,,LYERLY,KRISTIN,,,,H,WI,08,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189300,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,3833.95,0.00,In-kind: staff time/grassroots organizing,011,C00326801,,,BALDWIN,TAMMY,,,,S,WI,,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189959,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,3498.42,0.00,In-kind: staff time/grassroots organizing,011,C00836502,,,SHAH,AMISH,DR.,,,H,AZ,01,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500190384,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,1495.29,0.00,In-kind: staff time/grassroots organizing,011,C00413914,,,GILLIBRAND,KIRSTEN,,,,S,NY,00,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500190385,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,2707.93,0.00,In-kind: staff time/grassroots organizing,011,C00711150,,,JONES,MONDAIRE,,,,H,NY,17,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500193921,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,3195.85,0.00,In-kind: staff time/grassroots organizing,011,C00677898,,,HAYES,JAHANA,,,,H,CT,05,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189296,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-04,2371.10,0.00,In-kind: staff time/grassroots organizing,011,C00543363,,,BOYLE,BRENDAN,F,,,H,PA,02,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189301,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-04,4934.55,0.00,In-kind: staff time/grassroots organizing,011,C00502179,,,POCAN,MARK,,,,H,WI,02,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189154,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-07,4822.64,0.00,In-kind: staff time/grassroots organizing,011,C00831537,,,MIN,DAVE,,,,H,CA,47,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189960,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-09,5000.00,0.00,In-kind: staff time/grassroots organizing,011,C00657304,,,STANTON,GREG,,,,H,AZ,04,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500190205,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-09,1131.55,0.00,In-kind: staff time/grassroots organizing,011,C00546358,,,ADAMS,ALMA,SHEALEY,,,H,NC,12,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189302,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-10,3552.81,0.00,In-kind: staff time/grassroots organizing,011,C00397505,,,MOORE,GWEN,S,,,H,WI,04,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500190382,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-13,2273.52,0.00,In-kind: staff time/grassroots organizing,011,C00418293,,,JOHNSON,HENRY,'HANK',,,H,GA,04,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500190027,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-14,4776.55,0.00,In-kind: staff time/grassroots organizing,011,C00787788,,,CARAVEO,YADIRA,,,,H,CO,08,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500193610,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-14,4484.66,0.00,In-kind: staff time/grassroots organizing,011,C00161786,FEDERAL: COLORADO DEMOCRATIC PARTY,,,,,,,,,,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500190386,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-15,4921.14,0.00,In-kind: staff time/grassroots organizing,011,C00670844,,,DEAN,MADELEINE,,,,H,PA,04,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500192733,,,CCM,JONATHAN NEZ FOR CONGRESS,,,,,,PO Box 1854,,Flagstaff,AZ,860021854,G2024,,2024-10-15,-1000.00,0.00,Void - check not cashed 8/6/2024,011,C00853473,,,NEZ,JONATHAN,MICHAEL,,,H,AZ,02,,,,,,,,
SB23,C00471540,500192735,,,CCM,JONATHAN NEZ FOR CONGRESS,,,,,,PO Box 1854,,Flagstaff,AZ,860021854,G2024,,2024-10-15,1000.00,0.00,Reissued check from 8/6/2024,011,C00853473,,,NEZ,JONATHAN,MICHAEL,,,H,AZ,02,,,,,,,,
