form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00763797,SB21B.41206,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-05,2027.72,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41040,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-06,164.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41041,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-09,188.10,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41042,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-10,18.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41043,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-11,35.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41044,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-12,570.30,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41045,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-13,132.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41046,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-17,65.50,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41047,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-18,36.80,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41048,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-19,91.10,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41049,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-20,226.60,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41050,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-23,138.50,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41051,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-24,51.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41052,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-25,52.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41053,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-26,217.60,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41054,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-27,35.30,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41055,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-30,103.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41056,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-31,52.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41057,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-02-01,11.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41058,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-02-02,282.17,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41059,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-02-03,79.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41060,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-02-06,140.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41061,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-02-08,47.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41062,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-02-09,268.10,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41063,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-02-10,12.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41064,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-02-13,514.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41065,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-02-14,70.50,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41066,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-02-15,156.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41067,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-02-16,541.49,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41068,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-02-17,115.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41069,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-02-21,126.30,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41070,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-02-22,122.90,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41071,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-02-23,33.80,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41072,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-02-24,224.10,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
