form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00409730,500366506,,,PAC,Annie PAC,,,,,,1 Park Row,Ste 5,Providence,RI,029031235,,,2023-03-07,1000.00,0.00,Contribution,,C00540062,Annie PAC,,,,,,,,,,,,,,,,,
SB23,C00409730,500366512,,,PAC,BEAT THE ODDS PAC,,,,,,5130 S Fort Apache Rd,Ste 215 Pmb 382,Las Vegas,NV,891481732,,,2023-03-07,1000.00,0.00,Contribution,,C00721233,BEAT THE ODDS PAC,,,,,,,,,,,,,,,,,
SB23,C00409730,15134458C,15134458,SA11C,CCM,Bill Foster For Congress Committee,,,,,,PO Box 9104,,Aurora,IL,605989104,,,2023-03-20,3000.00,0.00,Conduit Contribution,,C00435099,,,Foster,William,G.,,,H,IL,11,,,,,,,X,Earmarked by Ally Financial Inc. Advocacy PAC
SB23,C00409730,15139821C,15139821,SA11C,CCM,Bill Foster For Congress Committee,,,,,,PO Box 9104,,Aurora,IL,605989104,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00435099,,,Foster,William,G.,,,H,IL,11,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,15140576C,15140576,SA11C,CCM,Bill Foster For Congress Committee,,,,,,PO Box 9104,,Aurora,IL,605989104,,,2023-03-28,2500.00,0.00,Conduit Contribution,,C00435099,,,Foster,William,G.,,,H,IL,11,,,,,,,X,Earmarked by BLOCKPAC
SB23,C00409730,15144093C,15144093,SA11C,CCM,Bill Foster For Congress Committee,,,,,,PO Box 9104,,Aurora,IL,605989104,,,2023-03-30,2500.00,0.00,Conduit Contribution,,C00435099,,,Foster,William,G.,,,H,IL,11,,,,,,,X,Earmarked by Investment Company Institute PAC
SB23,C00409730,15139831C,15139831,SA11C,CCM,Bill Keating Committee,,,,,,PO Box 3065,,Buzzards Bay,MA,025320765,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00479063,,,Keating,William,,,,H,MA,09,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,500366514,,,PAC,BLUE NEVADA PAC,,,,,,4904 Camino Al Norte,Unit 336664,North Las Vegas,NV,890338879,,,2023-03-07,1000.00,0.00,Contribution,,C00707232,BLUE NEVADA PAC,,,,,,,,,,,,,,,,,
SB23,C00409730,500366515,,,PAC,Blue Power PAC,,,,,,PO Box 8846,,Collingswood,NJ,081088846,,,2023-03-07,1000.00,0.00,Contribution,,C00575894,Blue Power PAC,,,,,,,,,,,,,,,,,
SB23,C00409730,15139870C,15139870,SA11C,PAC,Blue Power PAC,,,,,,PO Box 8846,,Collingswood,NJ,081088846,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00575894,Blue Power PAC,,,,,,,,,,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,500366516,,,PAC,Bridge The Gap PAC,,,,,,PO Box 83142,,Gaithersburg,MD,208833142,,,2023-03-07,1000.00,0.00,Contribution,,C00655423,Bridge The Gap PAC,,,,,,,,,,,,,,,,,
SB23,C00409730,500366517,,,CCM,Brittany Pettersen For Colorado,,,,,,PO Box 150887,,Lakewood,CO,802150887,P2024,,2023-03-07,1000.00,0.00,Contribution,,C00637215,,,PETTERSEN,BRITTANY,MS.,,,H,CO,07,,,,,,,,
SB23,C00409730,15136540C,15136540,SA11C,CCM,Brittany Pettersen For Colorado,,,,,,PO Box 150887,,Lakewood,CO,802150887,,,2023-03-22,1000.00,0.00,Conduit Contribution,,C00637215,,,PETTERSEN,BRITTANY,MS.,,,H,CO,07,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,500366518,,,CCM,Brittany Pettersen For Colorado,,,,,,PO Box 150887,,Lakewood,CO,802150887,P2024,,2023-03-22,1000.00,0.00,Contribution,,C00637215,,,PETTERSEN,BRITTANY,MS.,,,H,CO,07,,,,,,,,
SB23,C00409730,500369133,,,CCM,Brittany Pettersen For Colorado,,,,,,PO Box 150887,,Lakewood,CO,802150887,P2024,,2023-03-24,3000.00,0.00,Contribution,,C00637215,,,PETTERSEN,BRITTANY,MS.,,,H,CO,07,,,,,,,,
SB23,C00409730,15139909C,15139909,SA11AI,CCM,Brittany Pettersen For Colorado,,,,,,PO Box 150887,,Lakewood,CO,802150887,,,2023-03-27,500.00,0.00,Conduit Contribution,,C00637215,,,PETTERSEN,BRITTANY,MS.,,,H,CO,07,,,,,,,X,Earmarked by Eric E. Tober
SB23,C00409730,15139910C,15139910,SA11AI,CCM,Brittany Pettersen For Colorado,,,,,,PO Box 150887,,Lakewood,CO,802150887,,,2023-03-27,500.00,0.00,Conduit Contribution,,C00637215,,,PETTERSEN,BRITTANY,MS.,,,H,CO,07,,,,,,,X,Earmarked by Julie. Nicole Bivens Collinson
SB23,C00409730,15144110C,15144110,SA11C,CCM,Brittany Pettersen For Colorado,,,,,,PO Box 150887,,Lakewood,CO,802150887,,,2023-03-30,1000.00,0.00,Conduit Contribution,,C00637215,,,PETTERSEN,BRITTANY,MS.,,,H,CO,07,,,,,,,X,Earmarked by Investment Company Institute PAC
SB23,C00409730,15144111C,15144111,SA11C,CCM,Brittany Pettersen For Colorado,,,,,,PO Box 150887,,Lakewood,CO,802150887,,,2023-03-30,2500.00,0.00,Conduit Contribution,,C00637215,,,PETTERSEN,BRITTANY,MS.,,,H,CO,07,,,,,,,X,Earmarked by Investment Company Institute PAC
SB23,C00409730,15139855C,15139855,SA11C,CCM,Brittany Pettersen For Congress,,,,,,PO Box 150887,,Lakewood,CO,802150887,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00637215,,,PETTERSEN,BRITTANY,MS.,,,H,CO,07,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,15144089C,15144089,SA11C,PAC,CA LUV PAC (California Leadership United For Victory PAC),,,,,,PO Box 15320,,Washington,DC,200030320,,,2023-03-30,5000.00,0.00,Conduit Contribution,,C00573709,CA LUV PAC (California Leadership United For Victory PAC),,,,,,,,,,,,,,,,X,Earmarked by Investment Company Institute PAC
SB23,C00409730,500366521,,,CCM,Caraveo For Congress,,,,,,PO Box 953,,Eastlake,CO,806140953,P2024,,2023-03-07,1000.00,0.00,Contribution,,C00787788,,,CARAVEO,YADIRA,,,,H,CO,08,,,,,,,,
SB23,C00409730,500369135,,,CCM,Caraveo For Congress,,,,,,PO Box 953,,Eastlake,CO,806140953,P2024,,2023-03-24,4000.00,0.00,Contribution,,C00787788,,,CARAVEO,YADIRA,,,,H,CO,08,,,,,,,,
SB23,C00409730,15140570C,15140570,SA11C,CCM,Caraveo For Congress,,,,,,PO Box 953,,Eastlake,CO,806140953,,,2023-03-27,1000.00,0.00,Conduit Contribution,,C00787788,,,CARAVEO,YADIRA,,,,H,CO,08,,,,,,,X,Earmarked by STRICKLAND FOR WASHINGTON
SB23,C00409730,15176591C,15176591,SA11C,CCM,Caraveo For Congress,,,,,,PO Box 953,,Eastlake,CO,806140953,,,2023-03-28,1000.00,0.00,Conduit Contribution,,C00787788,,,CARAVEO,YADIRA,,,,H,CO,08,,,,,,,X,Earmarked by AMERICAN INNOVATION POLITICAL ACTION COMMITTEE
SB23,C00409730,15139808C,15139808,SA11C,CCM,Case For Congress,,,,,,1253 S Beretania St,# 8888,Honolulu,HI,968141822,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00680918,,,Case,Edward,,,,H,HI,01,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,15140596C,15140596,SA11C,CCM,Case For Congress,,,,,,1253 S Beretania St,# 8888,Honolulu,HI,968141822,,,2023-03-28,2500.00,0.00,Conduit Contribution,,C00680918,,,Case,Edward,,,,H,HI,01,,,,,,,X,Earmarked by FEDEX CORPORATION POLITICAL ACTION COMMITTEE
SB23,C00409730,500366522,,,CCM,Casten For Congress,,,,,,4915 Woodward Ave,,Downers Grove,IL,605153332,P2024,,2023-03-07,1000.00,0.00,Contribution,,C00648493,,,Casten,Sean,,,,H,IL,06,,,,,,,,
SB23,C00409730,500369137,,,CCM,Casten For Congress,,,,,,4915 Woodward Ave,,Downers Grove,IL,605153332,P2024,,2023-03-24,2500.00,0.00,Contribution,,C00648493,,,Casten,Sean,,,,H,IL,06,,,,,,,,
SB23,C00409730,15139809C,15139809,SA11C,CCM,Casten For Congress,,,,,,4915 Woodward Ave,,Downers Grove,IL,605153332,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00648493,,,Casten,Sean,,,,H,IL,06,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,15144099C,15144099,SA11C,CCM,Casten For Congress,,,,,,4915 Woodward Ave,,Downers Grove,IL,605153332,,,2023-03-30,2500.00,0.00,Conduit Contribution,,C00648493,,,Casten,Sean,,,,H,IL,06,,,,,,,X,Earmarked by Investment Company Institute PAC
SB23,C00409730,500369140,,,CCM,Chris Pappas For Congress,,,,,,PO Box 313,,Manchester,NH,031050313,P2024,,2023-03-24,2500.00,0.00,Contribution,,C00660464,,,Pappas,Chris,,,,H,NH,01,,,,,,,,
SB23,C00409730,15140580C,15140580,SA11C,CCM,Chris Pappas For Congress,,,,,,PO Box 313,,Manchester,NH,031050313,,,2023-03-28,1000.00,0.00,Conduit Contribution,,C00660464,,,Pappas,Chris,,,,H,NH,01,,,,,,,X,Earmarked by Annie PAC
SB23,C00409730,15176601C,15176601,SA11C,CCM,Chris Pappas For Congress,,,,,,PO Box 313,,Manchester,NH,031050313,,,2023-03-28,1000.00,0.00,Conduit Contribution,,C00660464,,,Pappas,Chris,,,,H,NH,01,,,,,,,X,Earmarked by AMERICAN INNOVATION POLITICAL ACTION COMMITTEE
SB23,C00409730,15139828C,15139828,SA11C,CCM,Chrissy Houlahan For Congress,,,,,,PO Box 222,,Devon,PA,193330222,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00637371,,,Houlahan,Chrissy,,,,H,PA,06,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,15141727C,15141727,SA11AI,CCM,Chrissy Houlahan For Congress,,,,,,PO Box 222,,Devon,PA,193330222,,,2023-03-29,3300.00,0.00,Conduit Contribution,,C00637371,,,Houlahan,Chrissy,,,,H,PA,06,,,,,,,X,Earmarked by Robert J. Fisher
SB23,C00409730,15141738C,15141738,SA11AI,CCM,Chrissy Houlahan For Congress,,,,,,PO Box 222,,Devon,PA,193330222,,,2023-03-29,3300.00,0.00,Conduit Contribution,,C00637371,,,Houlahan,Chrissy,,,,H,PA,06,,,,,,,X,Earmarked by William S. Fisher
SB23,C00409730,15139773C,15139773,SA11C,CCM,Citizens For Boyle,,,,,,PO Box 11545,,Philadelphia,PA,191160545,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00543363,,,Boyle,Brendan,,,,H,PA,02,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,15140572C,15140572,SA11C,CCM,Citizens For Boyle,,,,,,PO Box 11545,,Philadelphia,PA,191160545,,,2023-03-28,1500.00,0.00,Conduit Contribution,,C00543363,,,Boyle,Brendan,,,,H,PA,02,,,,,,,X,Earmarked by BLOCKPAC
SB23,C00409730,15133150C,15133150,SA11C,CCM,Citizens To Elect Rick Larsen,,,,,,PO Box 326,,Everett,WA,982060326,,,2023-03-16,4500.00,0.00,Conduit Contribution,,C00345546,,,Larsen,Rick,R.,,,H,WA,02,,,,,,,X,"Earmarked by T-MOBILE USA, INC.  POLITICAL ACTION COMMITTEE (T-PAC)"
SB23,C00409730,15139836C,15139836,SA11C,CCM,Citizens To Elect Rick Larsen,,,,,,PO Box 326,,Everett,WA,982060326,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00345546,,,Larsen,Rick,R.,,,H,WA,02,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,500366525,,,PAC,Commonwealth PAC,,,,,,PO Box 383,,Merrifield,VA,221160383,,,2023-03-07,1000.00,0.00,Contribution,,C00498931,Commonwealth PAC,,,,,,,,,,,,,,,,,
SB23,C00409730,15136687C,15136687,SA11C,CCM,Connolly For Congress,,,,,,3706 Prado Pl,,Fairfax,VA,220313819,,,2023-03-22,1000.00,0.00,Conduit Contribution,,C00445452,,,Connolly,GERALD,EDWARD,,,H,VA,11,,,,,,,X,Earmarked by Elevance Health PAC (Formerly Anthem PAC)
SB23,C00409730,15139810C,15139810,SA11C,CCM,Connolly For Congress,,,,,,3706 Prado Pl,,Fairfax,VA,220313819,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00445452,,,Connolly,GERALD,EDWARD,,,H,VA,11,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,15133149C,15133149,SA11C,CCM,Darren Soto For Congress,,,,,,PO Box 420239,,Kissimmee,FL,347420239,,,2023-03-16,1000.00,0.00,Conduit Contribution,,C00581074,,,Soto,Darren,,,,H,FL,09,,,,,,,X,"Earmarked by T-MOBILE USA, INC.  POLITICAL ACTION COMMITTEE (T-PAC)"
SB23,C00409730,15136688C,15136688,SA11C,CCM,Darren Soto For Congress,,,,,,PO Box 420239,,Kissimmee,FL,347420239,,,2023-03-22,2500.00,0.00,Conduit Contribution,,C00581074,,,Soto,Darren,,,,H,FL,09,,,,,,,X,Earmarked by Elevance Health PAC (Formerly Anthem PAC)
SB23,C00409730,15139879C,15139879,SA11C,CCM,Darren Soto For Congress,,,,,,PO Box 420239,,Kissimmee,FL,347420239,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00581074,,,Soto,Darren,,,,H,FL,09,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,15176613C,15176613,SA11C,CCM,Darren Soto For Congress,,,,,,PO Box 420239,,Kissimmee,FL,347420239,,,2023-03-28,500.00,0.00,Conduit Contribution,,C00581074,,,Soto,Darren,,,,H,FL,09,,,,,,,X,Earmarked by Ami Bera for Congress
SB23,C00409730,15134457C,15134457,SA11C,CCM,David Scott For Congress,,,,,,PO Box 960821,,Riverdale,GA,302960821,,,2023-03-20,1000.00,0.00,Conduit Contribution,,C00369801,,,Scott,David,,,,H,GA,13,,,,,,,X,Earmarked by Ally Financial Inc. Advocacy PAC
SB23,C00409730,15139874C,15139874,SA11C,CCM,David Scott For Congress,,,,,,PO Box 960821,,Riverdale,GA,302960821,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00369801,,,Scott,David,,,,H,GA,13,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,15144102C,15144102,SA11C,CCM,David Scott For Congress,,,,,,PO Box 960821,,Riverdale,GA,302960821,,,2023-03-30,1000.00,0.00,Conduit Contribution,,C00369801,,,Scott,David,,,,H,GA,13,,,,,,,X,Earmarked by Investment Company Institute PAC
SB23,C00409730,15139890C,15139890,SA11C,CCM,Debbie Wasserman Schultz For Congress,,,,,,1071 Twin Branch Ln,,Weston,FL,333262828,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00385773,,,Schultz,Debbie Wasserman,,,,H,FL,23,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,15133143C,15133143,SA11C,CCM,DEBORAH ROSS FOR CONGRESS,,,,,,PO Box 28258,,Raleigh,NC,276118258,,,2023-03-16,1000.00,0.00,Conduit Contribution,,C00729277,,,ROSS,DEBORAH,,,,H,NC,02,,,,,,,X,"Earmarked by T-MOBILE USA, INC.  POLITICAL ACTION COMMITTEE (T-PAC)"
SB23,C00409730,15139869C,15139869,SA11C,CCM,DEBORAH ROSS FOR CONGRESS,,,,,,PO Box 28258,,Raleigh,NC,276118258,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00729277,,,ROSS,DEBORAH,,,,H,NC,02,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,500366530,,,PAC,"Defense, Economic Renewal, Education And Knowledge PAC",,,,,,119 1St Ave S,Ste 320,Seattle,WA,981043424,,,2023-03-07,1000.00,0.00,Contribution,,C00531632,"Defense, Economic Renewal, Education And Knowledge PAC",,,,,,,,,,,,,,,,,
SB23,C00409730,15136692C,15136692,SA11C,CCM,DelBene For Congress,,,,,,PO Box 487,,Bothell,WA,980410487,,,2023-03-22,5000.00,0.00,Conduit Contribution,,C00459099,,,DelBene,Suzan,,,,H,WA,01,,,,,,,X,Earmarked by Elevance Health PAC (Formerly Anthem PAC)
SB23,C00409730,15139817C,15139817,SA11C,CCM,DelBene For Congress,,,,,,PO Box 487,,Bothell,WA,980410487,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00459099,,,DelBene,Suzan,,,,H,WA,01,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,15144106C,15144106,SA11C,CCM,DelBene For Congress,,,,,,PO Box 487,,Bothell,WA,980410487,,,2023-03-30,1000.00,0.00,Conduit Contribution,,C00459099,,,DelBene,Suzan,,,,H,WA,01,,,,,,,X,Earmarked by Investment Company Institute PAC
SB23,C00409730,15144109C,15144109,SA11C,CCM,DelBene For Congress,,,,,,PO Box 487,,Bothell,WA,980410487,,,2023-03-30,5000.00,0.00,Conduit Contribution,,C00459099,,,DelBene,Suzan,,,,H,WA,01,,,,,,,X,Earmarked by Investment Company Institute PAC
SB23,C00409730,500366529,,,PAC,Democrats Win Seats (DWS PAC),,,,,,1071 Twin Branch Ln,,Weston,FL,333262828,,,2023-03-07,1000.00,0.00,Contribution,,C00425470,Democrats Win Seats (DWS PAC),,,,,,,,,,,,,,,,,
SB23,C00409730,500369143,,,CCM,DON DAVIS FOR NC,,,,,,PO Box 511,,Snow Hill,NC,285800511,P2024,,2023-03-24,5000.00,0.00,Contribution,,C00795211,,,DAVIS,DON,,,,H,NC,01,,,,,,,,
SB23,C00409730,15139815C,15139815,SA11C,CCM,DON DAVIS FOR NC,,,,,,PO Box 511,,Snow Hill,NC,285800511,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00795211,,,DAVIS,DON,,,,H,NC,01,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,15176594C,15176594,SA11C,CCM,DON DAVIS FOR NC,,,,,,PO Box 511,,Snow Hill,NC,285800511,,,2023-03-28,1000.00,0.00,Conduit Contribution,,C00795211,,,DAVIS,DON,,,,H,NC,01,,,,,,,X,Earmarked by AMERICAN INNOVATION POLITICAL ACTION COMMITTEE
SB23,C00409730,500369144,,,CCM,Dr. Kim Schrier For Congress,,,,,,3020 Issaquah Pine Lake Rd SE,# 331,Sammamish,WA,980757253,P2024,,2023-03-24,2500.00,0.00,Contribution,,C00652628,,,Schrier,Kim,,,,H,WA,08,,,,,,,,
SB23,C00409730,15133144C,15133144,SA11C,CCM,Dr. Raul Ruiz For Congress,,,,,,PO Box 6116,,La Quinta,CA,922486116,,,2023-03-16,1000.00,0.00,Conduit Contribution,,C00502575,,,Ruiz,Raul,,,,H,CA,36,,,,,,,X,"Earmarked by T-MOBILE USA, INC.  POLITICAL ACTION COMMITTEE (T-PAC)"
SB23,C00409730,15139871C,15139871,SA11C,CCM,Dr. Raul Ruiz For Congress,,,,,,PO Box 6116,,La Quinta,CA,922486116,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00502575,,,Ruiz,Raul,,,,H,CA,36,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,15139820C,15139820,SA11C,CCM,Elizabeth Pannill Fletcher For Congress,,,,,,3262 Westheimer Rd,# 636,Houston,TX,770981002,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00640045,,,Fletcher,Elizabeth Pannill,,,,H,TX,07,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,15140597C,15140597,SA11C,CCM,Elizabeth Pannill Fletcher For Congress,,,,,,3262 Westheimer Rd,# 636,Houston,TX,770981002,,,2023-03-28,1500.00,0.00,Conduit Contribution,,C00640045,,,Fletcher,Elizabeth Pannill,,,,H,TX,07,,,,,,,X,Earmarked by FEDEX CORPORATION POLITICAL ACTION COMMITTEE
SB23,C00409730,500366532,,,CCM,Emilia Sykes For Congress,,,,,,545 E Town St,,Columbus,OH,432154801,P2024,,2023-03-07,1000.00,0.00,Contribution,,C00801274,,,SYKES,EMILIA,,,,H,OH,13,,,,,,,,
SB23,C00409730,500369147,,,CCM,Emilia Sykes For Congress,,,,,,545 E Town St,,Columbus,OH,432154801,P2024,,2023-03-24,4000.00,0.00,Contribution,,C00801274,,,SYKES,EMILIA,,,,H,OH,13,,,,,,,,
SB23,C00409730,15139883C,15139883,SA11C,CCM,Emilia Sykes For Congress,,,,,,545 E Town St,,Columbus,OH,432154801,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00801274,,,SYKES,EMILIA,,,,H,OH,13,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,15140568C,15140568,SA11C,CCM,Emilia Sykes For Congress,,,,,,545 E Town St,,Columbus,OH,432154801,,,2023-03-27,1000.00,0.00,Conduit Contribution,,C00801274,,,SYKES,EMILIA,,,,H,OH,13,,,,,,,X,Earmarked by STRICKLAND FOR WASHINGTON
SB23,C00409730,15176606C,15176606,SA11C,CCM,Emilia Sykes For Congress,,,,,,545 E Town St,,Columbus,OH,432154801,,,2023-03-28,1000.00,0.00,Conduit Contribution,,C00801274,,,SYKES,EMILIA,,,,H,OH,13,,,,,,,X,Earmarked by AMERICAN INNOVATION POLITICAL ACTION COMMITTEE
SB23,C00409730,500366533,,,CCM,ERIC SORENSEN FOR ILLINOIS,,,,,,PO Box 1172,,Moline,IL,612661172,P2024,,2023-03-07,1000.00,0.00,Contribution,,C00793935,,,SORENSEN,ERIC,,,,H,IL,17,,,,,,,,
SB23,C00409730,500369148,,,CCM,ERIC SORENSEN FOR ILLINOIS,,,,,,PO Box 1172,,Moline,IL,612661172,P2024,,2023-03-24,4000.00,0.00,Contribution,,C00793935,,,SORENSEN,ERIC,,,,H,IL,17,,,,,,,,
SB23,C00409730,15140579C,15140579,SA11C,CCM,ERIC SORENSEN FOR ILLINOIS,,,,,,PO Box 1172,,Moline,IL,612661172,,,2023-03-28,1000.00,0.00,Conduit Contribution,,C00793935,,,SORENSEN,ERIC,,,,H,IL,17,,,,,,,X,Earmarked by Annie PAC
SB23,C00409730,15176604C,15176604,SA11C,CCM,ERIC SORENSEN FOR ILLINOIS,,,,,,PO Box 1172,,Moline,IL,612661172,,,2023-03-28,1000.00,0.00,Conduit Contribution,,C00793935,,,SORENSEN,ERIC,,,,H,IL,17,,,,,,,X,Earmarked by AMERICAN INNOVATION POLITICAL ACTION COMMITTEE
SB23,C00409730,500366534,,,PAC,Evergreen PAC,,,,,,499 S Capitol St SW,Ste 422,Washington,DC,200034028,,,2023-03-07,1000.00,0.00,Contribution,,C00576090,Evergreen PAC,,,,,,,,,,,,,,,,,
SB23,C00409730,15141679C,15141679,SA11C,PAC,Evergreen PAC,,,,,,499 S Capitol St SW,Ste 422,Washington,DC,200034028,,,2023-03-29,5000.00,0.00,Conduit Contribution,,C00576090,Evergreen PAC,,,,,,,,,,,,,,,,X,Earmarked by Target Citizens Political Forum
SB23,C00409730,500366537,,,CCM,Foushee For Congress,,,,,,PO Box 16446,,Chapel Hill,NC,275166446,P2024,,2023-03-07,1000.00,0.00,Contribution,,C00794727,,,FOUSHEE,VALERIE,,,,H,NC,04,,,,,,,,
SB23,C00409730,15139822C,15139822,SA11C,CCM,Foushee For Congress,,,,,,PO Box 16446,,Chapel Hill,NC,275166446,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00794727,,,FOUSHEE,VALERIE,,,,H,NC,04,,,,,,,X,Earmarked by Honeywell International PAC
