form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00405878,SB21B.30422,,,ORG,ImgFlip LLC,,,,,,512 Laguna St,# C,Santa Barbara,CA,93101,,,2023-06-05,4.95,,online graphics,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30409,,,ORG,Lyft,,,,,,185 Berry St.,#5000,San Francisco,CA,94107,,,2023-05-19,163.05,,rideshare rides in DC,002,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30314,,,ORG,MailChimp,,,,,,512 Means St.,Suite 404,Atlanta,GA,30318,,,2023-01-09,310.00,,email hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30332,,,ORG,MailChimp,,,,,,512 Means St.,Suite 404,Atlanta,GA,30318,,,2023-02-07,310.00,,email hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30375,,,ORG,MailChimp,,,,,,512 Means St.,Suite 404,Atlanta,GA,30318,,,2023-04-07,310.00,,email hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30355,,,ORG,MailChimp,,,,,,512 Means St.,Suite 404,Atlanta,GA,30318,,,2023-05-07,310.00,,email hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30393,,,ORG,MailChimp,,,,,,512 Means St.,Suite 404,Atlanta,GA,30318,,,2023-05-08,310.00,,email hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30425,,,ORG,MailChimp,,,,,,512 Means St.,Suite 404,Atlanta,GA,30318,,,2023-06-07,310.00,,email hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30410,,,ORG,Marriot Corporate Headquarters Marriott International,,,,,,10400 Fernwood Road,,Bethesda,MD,20817,,,2023-05-19,92.60,,dc travel lodging,002,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30338,,,ORG,Moonray Web Design,,,,,,543 Cox Rd,Suite B,Gastonia,NC,28054,,,2023-02-17,100.00,,website hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30359,,,ORG,Moonray Web Design,,,,,,543 Cox Rd,Suite B,Gastonia,NC,28054,,,2023-03-21,65.00,,website hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30379,,,ORG,Moonray Web Design,,,,,,543 Cox Rd,Suite B,Gastonia,NC,28054,,,2023-04-14,65.00,,website hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30416,,,ORG,Moonray Web Design,,,,,,543 Cox Rd,Suite B,Gastonia,NC,28054,,,2023-05-22,65.00,,website hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30430,,,ORG,Moonray Web Design,,,,,,543 Cox Rd,Suite B,Gastonia,NC,28054,,,2023-06-16,65.00,,website hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30340,,,ORG,NC State Parking Division,,,,,,116 W. Jones Street,,Raleigh,NC,27603,,,2023-02-23,12.00,,parking fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30345,,,ORG,NC State Parking Division,,,,,,116 W. Jones Street,,Raleigh,NC,27603,,,2023-03-01,4.00,,parking fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30341,,,ORG,NC State Treasurer,,,,,,PO Box 26504,,Raleigh,NC,27611,,,2023-02-24,29.28,,lunch for volunteers,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30315,,,ORG,PayPal,,,,,,2145 Hamilton Avenue,,San Jose,CA,95125,,,2023-01-09,1.18,,transaction fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30333,,,ORG,PayPal,,,,,,2145 Hamilton Avenue,,San Jose,CA,95125,,,2023-02-07,1.18,,transaction fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30356,,,ORG,PayPal,,,,,,2145 Hamilton Avenue,,San Jose,CA,95125,,,2023-03-07,1.18,,paypal tansaction fee,001,,,,,,,,,,,,,,,,,,,
