form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00684969,500117844,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-30,0.05,,76.99,Texting (Actual for previously reported IE),004,,S,H2NV04011,HORSFORD,STEVEN,ALEXZANDER,,,H,04,NV,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117845,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-30,0.18,,242.50,Texting (Actual for previously reported IE),004,,S,H8NV03200,Lee,Susie,,,,H,03,NV,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117846,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-31,0.05,,155.59,Texting (Actual for previously reported IE),004,,S,H8NV03036,TITUS,DINA,,,,H,01,NV,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117847,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-31,0.11,,414507.63,Texting (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117848,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-31,0.03,,242.50,Texting (Actual for previously reported IE),004,,S,H8NV03200,Lee,Susie,,,,H,03,NV,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117895,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-09-05,819.70,,2136.18,Texting (Actual for previously reported IE),004,,S,S4FL00611,MUCARSEL-POWELL,DEBBIE,,,,S,00,FL,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117896,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-09-05,1428.55,,414507.63,Texting (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117897,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-09-06,67.50,,2136.18,Texting (Actual for previously reported IE),004,,S,S4FL00611,MUCARSEL-POWELL,DEBBIE,,,,S,00,FL,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117898,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-09-09,87.15,,736.97,Auto-Dialer (Actual for previously reported IE),004,,S,S2WI00219,BALDWIN,TAMMY,,,,S,,WI,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117899,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-09-09,159.73,,38675.22,Texting (Actual for previously reported IE),004,,S,S6OH00163,Brown,Sherrod,,,,S,,OH,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
