form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00499343,SB29.8163,,,CCM,Friends of Faber,,,,,,7703 St. Rt. 703,,Celina,OH,45822,P2024,,2023-08-31,1000.00,,Contribution,011,,Friends of Faber,,,,,,,,,,,,,,,,,
SB29,C00499343,SB29.8186,,,CCM,Friends of Ferzan Ahmed,,,,,,8922 Coldwater Drive,,Powell,OH,43065,G2023,,2023-08-10,250.00,,Contribution,011,,,,,,,,,,,,,,,,,,,
SB29,C00499343,SB29.8171,,,CCM,Friends of George Lang,,,,,,7727 Foxboro Drive,,West Chester,OH,45069,P2024,,2023-11-01,500.00,,Contribution,011,,Friends of George Lang,,,,,,,,OH,,,,,,,,,
SB29,C00499343,SB29.8164,,,CCM,Friends of Jerry Cirino,,,,,,8075 North Orchard Rd,,Concord,OH,44077,P2024,,2023-09-11,500.00,,Contribution,011,,Friends of Jerry Cirino,,,,,,,,OH,,,,,,,,,
SB29,C00499343,SB29.8189,,,CCM,Friends of Susan Manchester,,,,,,2168 Sutter Parkway,,Dublin,OH,43016,P2024,,2023-10-03,500.00,,Contribution,011,,Friends of Susan Manchester,,,,,,,,OH,,,,,,,,,
SB29,C00499343,SB29.8173,,,CCM,Friends of Thomas Hall,,,,,,6364 Trenton Franklin Rd,,Middletown,OH,45042,P2024,,2023-12-05,500.00,,Contribution,011,,Friends of Thomas Hall,,,,,,,,OH,,,,,,,,,
SB29,C00499343,SB29.8187,,,CCM,LaRe for Ohio,,,,,,4679 Winterset Drive,,Columbus,OH,43220,P2024,,2023-08-30,600.00,,Contribution,011,,,,,,,,,,,,,,,,,,,
SB29,C00499343,SB29.8161,,,CCM,Matt Huffman for Ohio,,,,,,4679 Winterset Drive,,Columbus,OH,43220,P2024,,2023-08-14,1000.00,,Contribution,011,,Matt Huffman for Ohio,,,,,,,,,,,,,,,,,
SB29,C00499343,SB29.8172,,,CCM,Matt Huffman for Ohio,,,,,,4679 Winterset Drive,,Columbus,OH,43220,P2024,,2023-11-14,1000.00,,Contribution,011,,Matt Huffman for Ohio,,,,,,,,,,,,,,,,,
SB29,C00499343,SB29.8162,,,PTY,Ohio House Republican Caucus,,,,,,20 S Front St,,Columbus,OH,43215,P2024,,2023-08-22,1000.00,,Contribution,011,,Ohio House Republican Organization,,,,,,,,,,,,,,,,,
SB29,C00499343,SB29.8170,,,CCM,Seitz for Ohio,,,,,,4401 Abby Ct,,Cincinnati,OH,45248,P2024,,2023-10-20,500.00,,Contribution,011,,Seitz for Ohio,,,,,,,,,,,,,,,,,
SB29,C00499343,SB29.8167,,,CCM,Steve Huffman for Ohio,,,,,,331 South Market St,,Troy,OH,45373,P2024,,2023-09-26,500.00,,Contribution,011,,Steve Huffman for Ohio,,,,,,,,,,,,,,,,,
