form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00172296,27500570,,,COM,VA VICTORY 2024,,,,,,1490-5A Quarterpath Rd #272,,Williamsburg,VA,23185,,,2024-09-11,1000.00,0.00,Contribution,011,,,,,,,,,,,,,,,,,,,Contribution
SB23,C00172296,27500586,,,COM,VA VICTORY 2024,,,,,,1490-5A Quarterpath Rd #272,,Williamsburg,VA,23185,,,2024-09-11,-1000.00,0.00,Void - VA VICTORY 2024,011,,,,,,,,,,,,,,,,,,,Void - VA VICTORY 2024
SB23,C00172296,27500587,,,COM,VA VICTORY 2024,,,,,,1490-5A Quarterpath Rd #272,,Williamsburg,VA,23185,,,2024-09-11,1000.00,0.00,Contribution,011,,,,,,,,,,,,,,,,,,,Contribution
SB23,C00172296,27514703,,,CCM,Friends of Jim Clyburn,,,,,,"499 South Capitol Street, SW",Suite 422,Washington,DC,20003,G2024,,2024-09-24,1000.00,0.00,Contribution,011,,,,Clyburn,James,,,,H,SC,06,,,,,,,,Contribution
SB23,C00172296,27548122,,,CCM,Gillen For Ny,,,,,,PO Box 33079,,Washington,NY,20036,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00840165,Gillen For Ny,H4NY04158,Gillen,Laura,,Ms.,,H,NY,04,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548123,,,CCM,Cisneros For Congress,,,,,,P.O. Box 1153,,Covina,CA,91722,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00850420,Cisneros For Congress,H4CA31170,Cisneros,Gilbert,,Mr.,Jr.,H,CA,31,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548124,,,CCM,April McClain Delaney For Congress,,,,,,PO Box 83940,,Gaithersburg,MD,20883,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00854471,April McClain Delaney For Congress,H4MD06340,McClain Delaney,April,,Ms.,,H,MD,06,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548125,,,CCM,Hertel For Michigan,,,,,,PO Box 16037,,Lansing,MI,48901,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00844480,Hertel For Michigan,H4MI07210,Hertel,Curtis,,Sen.,Jr.,H,MI,07,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548126,,,CCM,Missy For Congress,,,,,,PO Box 55418,,Virginia Beach,VA,23471,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00849836,Missy For Congress,H4VA02060,Cotter Smasal,Missy,,Ms.,,H,VA,02,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548127,,,CCM,Suhas For Virginia,,,,,,PO Box 302,,Ashburn,VA,20146,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00856963,Suhas For Virginia,H4VA10279,Subramanyam,Suhas,,Sen.,,H,VA,10,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548128,,,CCM,Vargas For Congress,,,,,,713 Caniglia Plaza,,Omaha,NE,68108,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00784371,Vargas For Congress,H2NE02132,Vargas,Tony,,Sen.,,H,NE,02,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548138,,,CCM,Emilia Sykes For Congress,,,,,,P.O. Box 1347,,Akron,OH,44309,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00801274,Emilia Sykes For Congress,H2OH13264,Sykes,Emilia,,Rep.,,H,OH,13,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548139,,,CCM,Rosen For Nevada,,,,,,PO Box 46110,,Las Vegas,NV,89114,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00606939,Rosen For Nevada,S8NV00156,Rosen,Jacky,,Sen.,,S,NV,,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548140,,,CCM,Baccam For Iowa,,,,,,2813 Virginia Pl,,Des Moines,IA,50321,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00856021,Baccam For Iowa,H4IA03172,Baccam,Lanon,,Mr.,,H,IA,03,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548141,,,CCM,Monica Tranel for Montana,,,,,,PO BOX 9384,,MISSOULA,MT,59807,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,,,,,,,,,H,MT,01,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548142,,,CCM,Kaptur For Congress,,,,,,545 E Town St,,Coumbus,OH,43215,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00154625,Kaptur For Congress,H2OH09031,Kaptur,Marcy,,Rep.,,H,OH,09,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548143,,,CCM,Elissa Slotkin For Michigan,,,,,,P.O. Box 4145,,East Lansing,MI,48826,G2022,,2024-09-30,1455.59,0.00,In Kind Contribution; endorsement event,011,C00834218,Elissa Slotkin For Michigan,S4MI00470,Slotkin,Elissa,,Rep.,,S,MI,,,,,,,,,In Kind Contribution; endorsement event
