form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00599084,SB23.8081,,,CAN,,GONZALES,ERNEST ANTHONY TONY,Anthony,,II,11613 HUEBNER,,SAN ANTONIO,TX,78248,P2024,,2023-08-01,2500.00,,PCGPAC contribution to Tony Gonzales Victory Fund,011,C00756080,TONY GONZALES VICTORY FUND,,,,,,,,,,,,,,,,,
SB23,C00599084,SB23.8112,,,CAN,,GONZALES,ERNEST ANTHONY TONY,Anthony,,II,11613 HUEBNER,,SAN ANTONIO,TX,78248,P2024,,2023-09-28,1000.00,,PCGPAC contribution to Tony Gonzales for Congress,011,C00706614,Tony Gonzales for Congress,,,,,,,H,TX,23,,,,,,,,
SB23,C00599084,SB23.8096,,,CAN,,GOODEN,LANCE,,,,215 ELM DR,,TERRELL,TX,75160,P2024,,2023-09-12,5000.00,,PCGPAC contribution to The Lance Gooden for Congress Comm,011,C00662601,LANCE GOODEN FOR CONGRESS COMMITTEE,,,,,,,H,TX,05,,,,,,,,
SB23,C00599084,SB23.8101,,,CAN,,HUNT,WESLEY,,,,1707 1/2 POST OAK BLVD.,#525,HOUSTON,TX,77056,P2024,,2023-09-12,5000.00,,PCGPAC contribution to Wesley Hunt Victory Fund,011,C00748673,WESLEY HUNT VICTORY FUND,,,,,,,,,,,,,,,,,
SB23,C00599084,SB23.8111,,,CAN,,LETLOW,JULIA,,,,562 WEBB HILL RD,,OAK RIDGE,LA,71264,P2024,,2023-09-27,1000.00,,PCGPAC contribution to Julia Letlow for Congress,011,C00766428,JULIA LETLOW FOR CONGRESS,,,,,,,H,LA,05,,,,,,,,
SB23,C00599084,SB23.8072,,,CAN,,LUCAS,FRANK D.,,,,"RR2, BOX 136",,CHEYENNE,OK,73628,P2024,,2023-07-20,2500.00,,PCGPAC contribution to,011,C00287912,LUCAS FOR CONGRESS,,,,,,,H,OK,03,,,,,,,,
SB23,C00599084,SB23.8118,,,CAN,,LUTTRELL,MORGAN JOE,,,,PO BOX 1245,,MAGNOLIA,TX,77353,P2024,,2023-09-28,1000.00,,PCGPAC contribution to Texans for Morgan Luttrell,011,C00781112,TEXANS FOR MORGAN LUTTRELL,,,,,,,H,TX,08,,,,,,,,
SB23,C00599084,SB23.8137,,,CAN,,MCCARTHY,KEVIN,,,,PO BOX 12667,,BAKERSFIELD,CA,93389,P2024,,2023-07-18,5000.00,,PCGPAC contribution to McCarthy Victory Fund,011,C00541011,MCCARTHY VICTORY FUND,,,,,,,H,CA,23,,,,,,,,
SB23,C00599084,SB23.8095,,,CAN,,MORAN,NATHANIEL QUENTIN,,,,P.O. BOX 7066,,TYLER,TX,75711,P2024,,2023-09-12,5000.00,,PCGPAC contribution to Nathaniel Moran for Congress,011,C00796086,NATHANIEL MORAN FOR CONGRESS,,,,,,,H,TX,01,,,,,,,,
SB23,C00599084,SB23.8125,,,CAN,,PFLUGER,AUGUST LEE II,,,,PO BOX 3530,,SAN ANGELO,TX,76902,P2024,,2023-09-28,5000.00,,PCGPAC contribution to Pfluger Victory Committee,011,C00753913,Pfluger Victory Committee,,,,,,,H,TX,11,,,,,,,,
SB23,C00599084,SB23.8124,,,CAN,,SELF,KEITH ALAN MR,,,,7517 EASTWICK AVE,,MCKINNEY,TX,75071,P2024,,2023-09-28,1000.00,,PCGPAC contribution to Self for Congress,011,C00791293,SELF FOR CONGRESS,,,,,,,H,TX,03,,,,,,,,
SB23,C00599084,SB23.8070,,,CAN,,SMITH,JASON T,,,,45943 HIGHWAY 72,,SALEM,MO,65560,P2024,,2023-07-12,2500.00,,PCGPAC contribution to Jason Smith for Congress,011,C00541862,JASON SMITH FOR CONGRESS,,,,,,,H,MO,08,,,,,,,,
SB23,C00599084,SB23.8110,,,CAN,,STAUBER,PETE,,,,5078 W ARROWHEAD ROAD,,HERMANTOWN,MN,55811,P2024,,2023-09-14,2500.00,,PCGPAC contribution to Stauber for Congress,011,C00650697,STAUBER FOR CONGRESS,,,,,,,H,MN,08,,,,,,,,
SB23,C00599084,SB23.8090,,,CAN,,VAN DUYNE,ELIZABETH ANN,,,,PO BOX 630167,,IRVING,TX,75063,P2024,,2023-09-12,5000.00,,PCGPAC contribution to Beth Van Duyne for Congress,011,C00714865,BETH VAN DUYNE FOR CONGRESS,,,,,,,H,TX,24,,,,,,,,
