form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00386029,EB109015,,,PAC,Ana Hernandez Campaign,,,,,,406 Baldinger,,Houston,TX,77011,,,2024-08-13,500.00,,,011,,Ana Hernandez Campaign,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109014,,,PAC,Consulting Engineers PAC,,,,,,"1001 Congress Avenue, #200",,Austin,TX,78701,,,2024-08-13,500.00,,,011,,Consulting Engineers PAC,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109018,,,PAC,HNTB Missouri PAC - Federal Committee,,,,,,"28 Liberty Ship Way, Suite 2815",,Sausalito,CA,94965,,,2024-08-13,7000.00,,,011,,HNTB Missouri PAC - Federal Committee,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109013,,,PAC,Robert Nichols Campaign,,,,,,PO Box 2347,,Jacksonville,TX,75766,,,2024-08-13,1000.00,,,011,,Robert Nichols Campaign,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109016,,,PAC,Wheeler for Texas,,,,,,25511 Budde Road,Baylor Building #302,Spring,TX,77380,,,2024-08-13,2500.00,,,011,,Wheeler for Texas,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109012,,,PAC,Move Baton Rouge Forward,,,,,,9655 Perkins Road,Suite C-154,Baton Rouge,LA,70810,,,2024-08-14,5000.00,,,011,,Move Baton Rouge Forward,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109019,,,PAC,Friends of Jennifer Boysko,,,,,,PO Box 247,,Herndon,VA,20172,,,2024-08-15,1000.00,,,011,,Friends of Jennifer Boysko,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109020,,,PAC,Krizek for Delegate,,,,,,2201 Whiteoaks Drive,,Alexandria,VA,22306,,,2024-08-15,1000.00,,,011,,Krizek for Delegate,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109021,,,PAC,Matt Krause Campaign,,,,,,"8553 N. Beach St., PMB 180",,Fort Worth,TX,76244,,,2024-08-19,1000.00,,,011,,Matt Krause Campaign,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109024,,,PAC,Andrea Herr Campaign,,,,,,PO Box 954203,,Lake Mary,FL,32795,,,2024-08-21,1000.00,,,011,,Andrea Herr Campaign,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109023,,,PAC,Curt Skoog for Mayor,,,,,,9505 Linden Street,,Overland Park,KS,66207,,,2024-08-21,500.00,,,011,,Curt Skoog for Mayor,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109022,,,PAC,Ed Theriot Campaign,,,,,,120 Lakeview Circle,,Lockhart,TX,78644,,,2024-08-21,1000.00,,,011,,Ed Theriot Campaign,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109026,,,PAC,Michael Crain for Fort Worth,,,,,,4450 Oak Park Lane #100427,,Fort Worth,TX,76109,,,2024-08-21,1000.00,,,011,,Michael Crain for Fort Worth,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109027,,,PAC,Michael Crain for Fort Worth,,,,,,4450 Oak Park Lane #100427,,Fort Worth,TX,76109,,,2024-08-21,-1000.00,,Void Check - Not Negotiated,011,,Michael Crain for Fort Worth,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109025,,,PAC,Panhandle Prosperity,,,,,,526 East Park Ave,,Tallahassee,FL,32301,,,2024-08-21,2000.00,,,011,,Panhandle Prosperity,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109828,,,PAC,HNTB Missouri PAC - Federal Committee,,,,,,"28 Liberty Ship Way, Suite 2815",,Sausalito,CA,94965,,,2024-08-23,5000.00,,,011,,HNTB Missouri PAC - Federal Committee,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109829,,,PAC,Sharon Weston Broome Campaign,,,,,,PO Box 52783,,Baton Rouge,LA,70892,,,2024-08-23,-5000.00,,Void Check - Not Negotiated,011,,Sharon Weston Broome Campaign,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109832,,,PAC,Beach for Senate Inc.,,,,,,3100 Brierfield Road,,Alpharetta,GA,30004,,,2024-08-29,1000.00,,,011,,Beach for Senate Inc.,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109830,,,PAC,Darlene Gee for Council 2024,,,,,,25 Daryl Drive,,Orinda,CA,94563,,,2024-08-29,1500.00,,,011,,Darlene Gee for Council 2024,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109833,,,PAC,Friends of Greg Dolezal,,,,,,5430 Travis Ct.,,Cumming,GA,30040,,,2024-08-29,1000.00,,,011,,Friends of Greg Dolezal,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB110630,,,PAC,Heart of Caldwell County,,,,,,"263 Brushy Branch Rd, Unit A",,Lockhart,TX,78644,,,2024-08-30,1000.00,,,011,,Heart of Caldwell County,,,,,,,,,,,,,,,,,
