form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00844613,SB21B.5937,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-10-17,10.00,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5947,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-10-17,1.75,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5938,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-10-18,20.00,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5939,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-10-21,35.00,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5940,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-10-22,25.00,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5948,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-10-22,2900.30,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5941,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-10-23,120.00,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5942,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-10-24,60.00,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5943,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-10-25,35.00,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5944,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-10-28,110.00,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5949,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-10-28,2.78,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5945,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-10-30,55.00,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5946,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-10-31,25.00,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5928,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-11-01,165.00,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5929,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-11-04,85.00,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5950,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-11-04,2.33,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5930,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-11-05,25.00,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5931,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-11-06,25.00,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5927,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-11-18,10.00,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5933,,,ORG,MWE GROUP,,,,,,8651 JOHN J KINGMAN ROAD #123,,Fort Belvoir,VA,22060,,,2024-11-04,55000.00,,fundraising consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5954,,,ORG,Prime Media Partners,,,,,,4201 Wilson Blvd.,#110-126,Arlington,VA,22203,,,2024-10-24,21288.00,,"TV production, no public distribution",,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5935,,,ORG,"TAG, LLC",,,,,,PO BOX 1243,,Alexandria,VA,22313,,,2024-11-01,3000.00,,fundraising consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5936,,,ORG,"TAG, LLC",,,,,,PO BOX 1243,,Alexandria,VA,22313,,,2024-11-04,8500.00,,fundraising consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5952,,,ORG,"Wiley Rein, LLC",,,,,,"2050 M ST., NW",,Washington,DC,20036,,,2024-10-18,9000.00,,legal fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5953,,,ORG,"Wiley Rein, LLC",,,,,,"2050 M ST., NW",,Washington,DC,20036,,,2024-11-13,9000.00,,legal fees,,,,,,,,,,,,,,,,,,,,
