form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00647966,SB21B.6187,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-09-30,636.72,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6246,,,ORG,UPS,,,,,,"55 Glenlake Parkway, N.E.",,Atlanta,GA,30328,,,2024-09-11,26.51,,Postage - Not for federal candidates,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6248,,,ORG,UPS,,,,,,"55 Glenlake Parkway, N.E.",,Atlanta,GA,30328,,,2024-09-25,21.44,,Postage - Not for federal candidates,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6283,,,ORG,Vistaprint,,,,,,170 Data Drive,,Waltham,MA,02451,,,2024-07-24,257.78,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5920,,,ORG,Vistaprint,,,,,,170 Data Drive,,Waltham,MA,02451,,,2024-08-12,89.50,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6069,,,ORG,Vistaprint,,,,,,170 Data Drive,,Waltham,MA,02451,,,2024-09-05,49.56,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5915,,,ORG,ZippityPrint,,,,,,1600 E 23rd St,,Cleveland,OH,44114,,,2024-07-11,386.28,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6066,,,ORG,ZippityPrint,,,,,,1600 E 23rd St,,Cleveland,OH,44114,,,2024-09-03,364.44,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6070,,,ORG,ZippityPrint,,,,,,1600 E 23rd St,,Cleveland,OH,44114,,,2024-09-06,269.82,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6071,,,ORG,ZippityPrint,,,,,,1600 E 23rd St,,Cleveland,OH,44114,,,2024-09-06,212.96,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6072,,,ORG,ZippityPrint,,,,,,1600 E 23rd St,,Cleveland,OH,44114,,,2024-09-24,178.05,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6073,,,ORG,ZippityPrint,,,,,,1600 E 23rd St,,Cleveland,OH,44114,,,2024-09-30,189.37,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
