form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00571323,SB21B.7836,,,ORG,"Highwood Capital, LLC",,,,,,PO Box 6127,,Bozeman,MT,59771,,,2023-07-07,5000.00,,PAC - Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8057,,,ORG,"Highwood Capital, LLC",,,,,,PO Box 6127,,Bozeman,MT,59771,,,2023-08-02,5000.00,,PAC - Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8080,,,ORG,"Highwood Capital, LLC",,,,,,PO Box 6127,,Bozeman,MT,59771,,,2023-09-11,8773.18,,"PAC - Consulting Fees, Airfare, Transportation, Food/Beverage, Event Tickets",,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8298,,,ORG,"Highwood Capital, LLC",,,,,,PO Box 6127,,Bozeman,MT,59771,,,2023-10-15,5000.00,,PAC Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8299,,,ORG,"Highwood Capital, LLC",,,,,,PO Box 6127,,Bozeman,MT,59771,,,2023-10-28,4039.01,,"PAC Lodging, Food/Beverage, Transportation, Airfare",,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8300,,,ORG,"Highwood Capital, LLC",,,,,,PO Box 6127,,Bozeman,MT,59771,,,2023-11-06,5000.00,,PAC Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8046,,,ORG,"Highwood Capital, LLC",,,,,,PO Box 6127,,Bozeman,MT,59771,,,2023-12-09,5000.00,,PAC - Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.7838,,,ORG,"Holtzman Vogel Josefiak Torchinsky, PLLC",,,,,,45 North Hills Drive,,Warrenton,VA,20186,,,2023-07-20,600.00,,PAC - Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8068,,,ORG,"Holtzman Vogel Josefiak Torchinsky, PLLC",,,,,,45 North Hills Drive,,Warrenton,VA,20186,,,2023-08-24,300.00,,PAC - Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8204,,,ORG,Lucky's,,,,,,1279 Coast Village Rd,,Montecito,CA,93108,,,2023-10-10,260.19,,PAC Food/Beverage,,,,,,,,,,,,,,,,,,,,
