form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00844613,SB21B.5167,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-30,-166.25,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5481,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-30,37298.09,,"pull from advance, Line 21, for administrative, fundraising and compliance support",,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5484,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-30,-37298.09,,pull from advance for operating expenditure Line 21,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5437,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-07-02,10.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5438,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-07-09,10.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5439,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-07-18,10.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5440,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-07-19,25.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5441,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-07-19,25.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5442,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-07-19,10.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5443,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-07-19,25.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5444,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-07-26,50.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5445,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-08-01,10.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5446,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-08-01,25.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5447,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-08-02,25.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5448,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-08-12,10.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5449,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-08-12,25.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5450,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-08-12,25.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5451,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-08-16,25.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5452,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-08-16,10.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5453,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-08-20,25.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5454,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-08-20,10.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5470,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-08-27,10.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5471,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-08-28,10.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5472,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-08-30,35.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5455,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-09-03,10.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5456,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-09-04,75.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5457,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-09-10,175.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5458,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-09-11,120.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5459,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-09-12,110.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5460,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-09-13,35.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5461,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-09-16,25.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5462,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-09-17,10.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5463,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-09-19,100.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5464,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-09-20,25.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5465,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-09-23,25.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5466,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-09-24,10.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5467,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-09-26,50.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5468,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-09-27,25.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5469,,,ORG,Forbright Bank,,,,,,4445 Willard Ave Suite 110,,CHEVY CHASE,MD,20815,,,2024-09-30,10.00,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5473,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2024-09-11,6.73,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5474,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2024-09-13,7.55,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5475,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2024-09-17,0.66,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5476,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2024-09-19,3.20,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5477,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2024-09-25,7.55,,Bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5478,,,ORG,WPA Intelligence,,,,,,"1900 E 15th St., Ste. 600A",,Edmond,OK,73013,,,2024-08-21,37500.00,,"Polling, analysis",,,,,,,,,,,,,,,,,,,,
