form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00831545,500353242,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-10-23,197.50,0.00,Credit card processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355022,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-10-02,6.98,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355023,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-10-02,8.69,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355024,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-10-02,46.83,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355025,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-10-02,44.90,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355031,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-10-03,100.00,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355032,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-10-06,2.00,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355033,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-10-10,61.44,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355034,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-10-11,43.00,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355035,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-10-12,38.95,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355039,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-10-23,37.91,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355048,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-10-23,18.93,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355051,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-10-23,12.92,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355053,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-10-24,8.25,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355055,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-10-25,1.00,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355059,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-10-25,42.92,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355026,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2023-10-02,8.00,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355027,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2023-10-02,9.00,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355028,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2023-10-02,9.00,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355047,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2023-10-23,9.00,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355057,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2023-10-25,187.00,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500355058,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2023-10-25,370.00,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
