form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00754069,501068668,,,ORG,ActBlue Technical Services,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2023-06-30,7802.04,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068505,,,IND,,Carroll,Daniel,,,,4415 N 32nd St,,Phoenix,AZ,850183905,,,2023-02-23,5011.85,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068507,,,IND,,Carroll,Daniel,,,,4415 N 32nd St,,Phoenix,AZ,850183905,,,2023-04-03,5000.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068504,,,IND,,Carroll,Daniel,,,,4415 N 32nd St,,Phoenix,AZ,850183905,,,2023-04-25,5011.85,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068506,,,IND,,Carroll,Daniel,,,,4415 N 32nd St,,Phoenix,AZ,850183905,,,2023-05-24,5000.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068726,,,ORG,Frontier Airlines,,,,,,4545 Airport Way,,Denver,CO,802395716,,,2023-02-08,467.97,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068730,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-01-03,72.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068738,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-01-17,12.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068733,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-01-24,24.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068752,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-01-30,6.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068729,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-02-02,72.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068737,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-02-14,12.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068736,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-02-21,12.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068751,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-03-01,6.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068728,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-03-02,72.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068750,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-03-08,6.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068735,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-03-14,12.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068739,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-03-14,6.01,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068749,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-03-29,6.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068727,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-04-03,72.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068748,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-04-10,6.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068747,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-04-17,6.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068746,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-05-01,6.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068731,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-05-02,48.80,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068745,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-05-08,6.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068744,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-05-15,6.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068743,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-05-30,6.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068732,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-06-02,36.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068742,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-06-09,6.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068734,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-06-12,12.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068741,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-06-15,6.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068740,,,ORG,Google,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2023-06-29,6.00,0.00,Website Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068766,,,ORG,Honolulu Cookie Company,,,,,,255 Sand Island Access Rd,,Honolulu,HI,968192292,,,2023-01-09,29.95,0.00,Donor Gift,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068768,,,ORG,Honolulu Cookie Company,,,,,,255 Sand Island Access Rd,,Honolulu,HI,968192292,,,2023-01-09,20.95,0.00,Donor Gift,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068767,,,ORG,Honolulu Cookie Company,,,,,,255 Sand Island Access Rd,,Honolulu,HI,968192292,,,2023-01-18,20.95,0.00,Donor Gift,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068765,,,ORG,Honolulu Cookie Company,,,,,,255 Sand Island Access Rd,,Honolulu,HI,968192292,,,2023-01-30,29.95,0.00,Donor Gift,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068764,,,ORG,Honolulu Cookie Company,,,,,,255 Sand Island Access Rd,,Honolulu,HI,968192292,,,2023-02-08,29.95,0.00,Donor Gift,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068763,,,ORG,Honolulu Cookie Company,,,,,,255 Sand Island Access Rd,,Honolulu,HI,968192292,,,2023-02-27,29.95,0.00,Donor Gift,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068762,,,ORG,Honolulu Cookie Company,,,,,,255 Sand Island Access Rd,,Honolulu,HI,968192292,,,2023-03-03,29.95,0.00,Donor Gift,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068760,,,ORG,Honolulu Cookie Company,,,,,,255 Sand Island Access Rd,,Honolulu,HI,968192292,,,2023-04-12,29.95,0.00,Donor Gift,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068761,,,ORG,Honolulu Cookie Company,,,,,,255 Sand Island Access Rd,,Honolulu,HI,968192292,,,2023-04-12,29.95,0.00,Donor Gift,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068758,,,ORG,Honolulu Cookie Company,,,,,,255 Sand Island Access Rd,,Honolulu,HI,968192292,,,2023-05-12,29.95,0.00,Donor Gift,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068759,,,ORG,Honolulu Cookie Company,,,,,,255 Sand Island Access Rd,,Honolulu,HI,968192292,,,2023-05-12,29.95,0.00,Donor Gift,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068757,,,ORG,Honolulu Cookie Company,,,,,,255 Sand Island Access Rd,,Honolulu,HI,968192292,,,2023-06-01,29.95,0.00,Donor Gift,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068756,,,ORG,Honolulu Cookie Company,,,,,,255 Sand Island Access Rd,,Honolulu,HI,968192292,,,2023-06-12,29.95,0.00,Donor Gift,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068755,,,ORG,Honolulu Cookie Company,,,,,,255 Sand Island Access Rd,,Honolulu,HI,968192292,,,2023-06-29,29.95,0.00,Donor Gift,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068771,,,ORG,Integrated Solutions Political,,,,,,4142 Adams Ave,Ste Pm 103,San Diego,CA,921162594,,,2023-01-04,375.00,0.00,Database Platform,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068770,,,ORG,Integrated Solutions Political,,,,,,4142 Adams Ave,Ste Pm 103,San Diego,CA,921162594,,,2023-02-02,375.00,0.00,Database Platform,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068502,,,IND,,Jacobson,Joe,,,,969 Hilgard Ave,Apt 1104,Los Angeles,CA,900243002,,,2023-02-01,3251.00,0.00,Executive Director,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068501,,,IND,,Jacobson,Joe,,,,969 Hilgard Ave,Apt 1104,Los Angeles,CA,900243002,,,2023-03-01,3251.00,0.00,Executive Director,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068503,,,IND,,Jacobson,Joe,,,,969 Hilgard Ave,Apt 1104,Los Angeles,CA,900243002,,,2023-03-06,1498.20,0.00,Executive Director,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068500,,,IND,,Jacobson,Joe,,,,969 Hilgard Ave,Apt 1104,Los Angeles,CA,900243002,,,2023-03-30,3251.00,0.00,Executive Director,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068499,,,IND,,Jacobson,Joe,,,,969 Hilgard Ave,Apt 1104,Los Angeles,CA,900243002,,,2023-04-28,3751.00,0.00,Executive Director,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068498,,,IND,,Jacobson,Joe,,,,969 Hilgard Ave,Apt 1104,Los Angeles,CA,900243002,,,2023-05-31,4001.00,0.00,Executive Director,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068497,,,IND,,Jacobson,Joe,,,,969 Hilgard Ave,Apt 1104,Los Angeles,CA,900243002,,,2023-06-29,4001.00,0.00,Executive Director,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068773,,,ORG,Kallik and Associates,,,,,,PO Box 341263,,Bethesda,MD,208271263,,,2023-05-04,350.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068772,,,ORG,Kallik and Associates,,,,,,PO Box 341263,,Bethesda,MD,208271263,,,2023-06-12,1500.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068775,,,ORG,Kaufman Legal Group,,,,,,777 S Figueroa St,Ste 4050,Los Angeles,CA,900175864,,,2023-02-15,819.00,0.00,Legal Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068776,,,ORG,Kaufman Legal Group,,,,,,777 S Figueroa St,Ste 4050,Los Angeles,CA,900175864,,,2023-03-14,475.00,0.00,Legal Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068778,,,ORG,Kaufman Legal Group,,,,,,777 S Figueroa St,Ste 4050,Los Angeles,CA,900175864,,,2023-04-13,91.00,0.00,Legal Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068774,,,ORG,Kaufman Legal Group,,,,,,777 S Figueroa St,Ste 4050,Los Angeles,CA,900175864,,,2023-05-15,1287.00,0.00,Legal Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068777,,,ORG,Kaufman Legal Group,,,,,,777 S Figueroa St,Ste 4050,Los Angeles,CA,900175864,,,2023-06-12,289.00,0.00,Legal Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068783,,,ORG,NGP VAN,,,,,,655 15th St NW,Ste 650,Washington,DC,200055738,,,2023-02-06,333.90,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068782,,,ORG,NGP VAN,,,,,,655 15th St NW,Ste 650,Washington,DC,200055738,,,2023-04-03,2989.20,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068781,,,ORG,NGP VAN,,,,,,655 15th St NW,Ste 650,Washington,DC,200055738,,,2023-06-13,2989.20,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068490,,,IND,,Richards,Kyle,,,,27011 Detroit Rd,,Cleveland,OH,441452373,,,2023-01-12,2567.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068489,,,IND,,Richards,Kyle,,,,27011 Detroit Rd,,Cleveland,OH,441452373,,,2023-01-27,2567.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068496,,,IND,,Richards,Kyle,,,,27011 Detroit Rd,,Cleveland,OH,441452373,,,2023-01-27,350.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068488,,,IND,,Richards,Kyle,,,,27011 Detroit Rd,,Cleveland,OH,441452373,,,2023-02-10,2567.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068487,,,IND,,Richards,Kyle,,,,27011 Detroit Rd,,Cleveland,OH,441452373,,,2023-02-24,2567.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068495,,,IND,,Richards,Kyle,,,,27011 Detroit Rd,,Cleveland,OH,441452373,,,2023-02-24,350.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068486,,,IND,,Richards,Kyle,,,,27011 Detroit Rd,,Cleveland,OH,441452373,,,2023-03-10,2567.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068485,,,IND,,Richards,Kyle,,,,27011 Detroit Rd,,Cleveland,OH,441452373,,,2023-03-24,2567.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068494,,,IND,,Richards,Kyle,,,,27011 Detroit Rd,,Cleveland,OH,441452373,,,2023-03-29,350.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068484,,,IND,,Richards,Kyle,,,,27011 Detroit Rd,,Cleveland,OH,441452373,,,2023-04-07,2567.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068483,,,IND,,Richards,Kyle,,,,27011 Detroit Rd,,Cleveland,OH,441452373,,,2023-04-21,2567.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068493,,,IND,,Richards,Kyle,,,,27011 Detroit Rd,,Cleveland,OH,441452373,,,2023-04-26,350.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068482,,,IND,,Richards,Kyle,,,,27011 Detroit Rd,,Cleveland,OH,441452373,,,2023-05-05,2567.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068481,,,IND,,Richards,Kyle,,,,27011 Detroit Rd,,Cleveland,OH,441452373,,,2023-05-19,2567.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068492,,,IND,,Richards,Kyle,,,,27011 Detroit Rd,,Cleveland,OH,441452373,,,2023-05-26,350.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068480,,,IND,,Richards,Kyle,,,,27011 Detroit Rd,,Cleveland,OH,441452373,,,2023-06-02,2567.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068479,,,IND,,Richards,Kyle,,,,27011 Detroit Rd,,Cleveland,OH,441452373,,,2023-06-15,2567.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068491,,,IND,,Richards,Kyle,,,,27011 Detroit Rd,,Cleveland,OH,441452373,,,2023-06-28,350.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068478,,,IND,,Richards,Kyle,,,,27011 Detroit Rd,,Cleveland,OH,441452373,,,2023-06-29,2567.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068797,,,ORG,RocketReach LLC,,,,,,800 Bellevue Way NE,Unit 1,Bellevue,WA,980044286,,,2023-01-23,165.38,0.00,Job Board Platform,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068796,,,ORG,RocketReach LLC,,,,,,800 Bellevue Way NE,Unit 1,Bellevue,WA,980044286,,,2023-02-22,165.38,0.00,Job Board Platform,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068795,,,ORG,RocketReach LLC,,,,,,800 Bellevue Way NE,Unit 1,Bellevue,WA,980044286,,,2023-03-22,165.38,0.00,Job Board Platform,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068794,,,ORG,RocketReach LLC,,,,,,800 Bellevue Way NE,Unit 1,Bellevue,WA,980044286,,,2023-04-24,165.38,0.00,Job Board Platform,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068793,,,ORG,RocketReach LLC,,,,,,800 Bellevue Way NE,Unit 1,Bellevue,WA,980044286,,,2023-05-22,165.38,0.00,Job Board Platform,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068792,,,ORG,RocketReach LLC,,,,,,800 Bellevue Way NE,Unit 1,Bellevue,WA,980044286,,,2023-06-22,165.38,0.00,Job Board Platform,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068799,,,ORG,Roger That Compliance,,,,,,PO Box 21662,,Washington,DC,200099662,,,2023-01-26,3000.00,0.00,Accounting and Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068798,,,ORG,Roger That Compliance,,,,,,PO Box 21662,,Washington,DC,200099662,,,2023-04-11,3000.00,0.00,Accounting and Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068801,,,ORG,Sapphire Strategies,,,,,,641 S St NW,,Washington,DC,200015196,,,2023-02-08,25000.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068806,,,ORG,Sapphire Strategies,,,,,,641 S St NW,,Washington,DC,200015196,,,2023-03-01,8000.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068805,,,ORG,Sapphire Strategies,,,,,,641 S St NW,,Washington,DC,200015196,,,2023-03-02,8000.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068804,,,ORG,Sapphire Strategies,,,,,,641 S St NW,,Washington,DC,200015196,,,2023-04-03,8000.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068810,,,ORG,Sapphire Strategies,,,,,,641 S St NW,,Washington,DC,200015196,,,2023-04-04,1504.18,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068807,,,ORG,Sapphire Strategies,,,,,,641 S St NW,,Washington,DC,200015196,,,2023-04-18,7000.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068808,,,ORG,Sapphire Strategies,,,,,,641 S St NW,,Washington,DC,200015196,,,2023-04-28,3000.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068809,,,ORG,Sapphire Strategies,,,,,,641 S St NW,,Washington,DC,200015196,,,2023-05-04,1769.62,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068802,,,ORG,Sapphire Strategies,,,,,,641 S St NW,,Washington,DC,200015196,,,2023-05-11,18000.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068803,,,ORG,Sapphire Strategies,,,,,,641 S St NW,,Washington,DC,200015196,,,2023-06-12,10478.37,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068811,,,ORG,Scale to Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,,,2023-01-04,407.70,0.00,Texting,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068813,,,ORG,Switchboard,,,,,,2001 K St NW,,Washington,DC,200061037,,,2023-03-20,4140.90,0.00,Texting,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068815,,,ORG,Switchboard,,,,,,2001 K St NW,,Washington,DC,200061037,,,2023-05-01,2642.51,0.00,Texting,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068816,,,ORG,Switchboard,,,,,,2001 K St NW,,Washington,DC,200061037,,,2023-05-03,1134.48,0.00,Texting,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068814,,,ORG,Switchboard,,,,,,2001 K St NW,,Washington,DC,200061037,,,2023-06-12,3111.60,0.00,Texting,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068822,,,ORG,"Tracy Austin, Inc",,,,,,9869 Easton Dr,,Beverly Hills,CA,902101416,,,2023-04-07,3507.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068821,,,ORG,"Tracy Austin, Inc",,,,,,9869 Easton Dr,,Beverly Hills,CA,902101416,,,2023-04-25,5000.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068820,,,ORG,"Tracy Austin, Inc",,,,,,9869 Easton Dr,,Beverly Hills,CA,902101416,,,2023-05-24,5000.00,0.00,Consultant - Fundraising,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068823,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2023-04-10,344.00,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068824,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2023-04-10,34.00,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068825,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2023-04-10,34.00,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068855,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-01-03,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068856,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-01-03,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
