form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00409730,17072229C,17072229,SA11C,CCM,Bill Foster For Congress Committee,,,,,,PO Box 9104,,Aurora,IL,605989104,,,2024-03-28,1000.00,0.00,Conduit Contribution,,C00435099,,,Foster,William,G.,,,H,IL,11,,,,,,,X,Earmarked by Boehringer Ingelheim USA Corporation PAC
SB23,C00409730,17057620C,17057620,SA11C,PAC,BLUE NEVADA PAC,,,,,,4904 Camino Al Norte,Unit 336664,North Las Vegas,NV,890338879,,,2024-03-27,5000.00,0.00,Conduit Contribution,,C00707232,BLUE NEVADA PAC,,,,,,,,,,,,,,,,X,Earmarked by Investment Company Institute PAC
SB23,C00409730,17060084C,17060084,SA11C,PAC,BLUE NEVADA PAC,,,,,,4904 Camino Al Norte,Unit 336664,North Las Vegas,NV,890338879,,,2024-03-27,2500.00,0.00,Conduit Contribution,,C00707232,BLUE NEVADA PAC,,,,,,,,,,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,500407805,,,PAC,Blue Power PAC,,,,,,PO Box 8846,,Collingswood,NJ,081088846,,,2024-03-06,1000.00,0.00,Contribution,,C00575894,Blue Power PAC,,,,,,,,,,,,,,,,,
SB23,C00409730,17060113C,17060113,SA11C,PAC,Blue Power PAC,,,,,,PO Box 8846,,Collingswood,NJ,081088846,,,2024-03-27,2500.00,0.00,Conduit Contribution,,C00575894,Blue Power PAC,,,,,,,,,,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,500407806,,,PAC,Bridge The Gap PAC,,,,,,PO Box 83142,,Gaithersburg,MD,208833142,,,2024-03-06,1000.00,0.00,Contribution,,C00655423,Bridge The Gap PAC,,,,,,,,,,,,,,,,,
SB23,C00409730,17060137C,17060137,SA11C,PAC,Bridge The Gap PAC,,,,,,PO Box 83142,,Gaithersburg,MD,208833142,,,2024-03-27,1500.00,0.00,Conduit Contribution,,C00655423,Bridge The Gap PAC,,,,,,,,,,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17057610C,17057610,SA11C,CCM,Brittany Pettersen For Colorado,,,,,,PO Box 150887,,Lakewood,CO,802150887,,,2024-03-27,5000.00,0.00,Conduit Contribution,,C00637215,,,PETTERSEN,BRITTANY,MS.,,,H,CO,07,,,,,,,X,Earmarked by Investment Company Institute PAC
SB23,C00409730,17052350C,17052350,SA11C,PAC,CA LUV PAC (California Leadership United For Victory PAC),,,,,,PO Box 15320,,Washington,DC,200030320,,,2024-03-25,5000.00,0.00,Conduit Contribution,,C00573709,CA LUV PAC (California Leadership United For Victory PAC),,,,,,,,,,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17057611C,17057611,SA11C,PAC,CA LUV PAC (California Leadership United For Victory PAC),,,,,,PO Box 15320,,Washington,DC,200030320,,,2024-03-27,5000.00,0.00,Conduit Contribution,,C00573709,CA LUV PAC (California Leadership United For Victory PAC),,,,,,,,,,,,,,,,X,Earmarked by Investment Company Institute PAC
SB23,C00409730,17031670C,17031670,SA11C,CCM,Caraveo For Congress,,,,,,PO Box 953,,Eastlake,CO,806140953,,,2024-03-18,1000.00,0.00,Conduit Contribution,,C00787788,,,CARAVEO,YADIRA,,,,H,CO,08,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17031781C,17031781,SA11C,CCM,Caraveo For Congress,,,,,,PO Box 953,,Eastlake,CO,806140953,,,2024-03-18,500.00,0.00,Conduit Contribution,,C00787788,,,CARAVEO,YADIRA,,,,H,CO,08,,,,,,,X,Earmarked by AMERICAN INNOVATION POLITICAL ACTION COMMITTEE
SB23,C00409730,17042190C,17042190,SA11C,CCM,Caraveo For Congress,,,,,,PO Box 953,,Eastlake,CO,806140953,,,2024-03-21,2300.00,0.00,Conduit Contribution,,C00787788,,,CARAVEO,YADIRA,,,,H,CO,08,,,,,,,X,Earmarked by Serving Our Country (SOC) PAC
SB23,C00409730,17053559C,17053559,SA11C,CCM,Caraveo For Congress,,,,,,PO Box 953,,Eastlake,CO,806140953,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00787788,,,CARAVEO,YADIRA,,,,H,CO,08,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,500407807,,,CCM,Case For Congress,,,,,,1253 S Beretania St,# 8888,Honolulu,HI,968141822,P2024,,2024-03-06,1000.00,0.00,Contribution,,C00680918,,,Case,Edward,,,,H,HI,01,,,,,,,,
SB23,C00409730,16988527C,16988527,SA11C,CCM,Casten For Congress,,,,,,4915 Woodward Ave,,Downers Grove,IL,605153332,,,2024-03-04,2500.00,0.00,Conduit Contribution,,C00648493,,,Casten,Sean,,,,H,IL,06,,,,,,,X,Earmarked by Ally Financial Inc. Advocacy PAC
SB23,C00409730,17052346C,17052346,SA11C,CCM,Casten For Congress,,,,,,4915 Woodward Ave,,Downers Grove,IL,605153332,,,2024-03-25,2500.00,0.00,Conduit Contribution,,C00648493,,,Casten,Sean,,,,H,IL,06,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17057617C,17057617,SA11C,CCM,Casten For Congress,,,,,,4915 Woodward Ave,,Downers Grove,IL,605153332,,,2024-03-27,2500.00,0.00,Conduit Contribution,,C00648493,,,Casten,Sean,,,,H,IL,06,,,,,,,X,Earmarked by Investment Company Institute PAC
SB23,C00409730,16988533C,16988533,SA11C,CCM,Castro For Congress,,,,,,PO Box 544,,San Antonio,TX,782920544,,,2024-03-04,2000.00,0.00,Conduit Contribution,,C00497933,,,Castro,Joaquin,,,,H,TX,20,,,,,,,X,Earmarked by National Multi Housing Council Political Action Committee
SB23,C00409730,17031684C,17031684,SA11C,CCM,Chris Pappas For Congress,,,,,,PO Box 313,,Manchester,NH,031050313,,,2024-03-18,1000.00,0.00,Conduit Contribution,,C00660464,,,Pappas,Chris,,,,H,NH,01,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17042197C,17042197,SA11C,CCM,Chris Pappas For Congress,,,,,,PO Box 313,,Manchester,NH,031050313,,,2024-03-21,1000.00,0.00,Conduit Contribution,,C00660464,,,Pappas,Chris,,,,H,NH,01,,,,,,,X,Earmarked by Serving Our Country (SOC) PAC
SB23,C00409730,17053571C,17053571,SA11C,CCM,Chris Pappas For Congress,,,,,,PO Box 313,,Manchester,NH,031050313,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00660464,,,Pappas,Chris,,,,H,NH,01,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,17031703C,17031703,SA11C,CCM,Chrissy Houlahan For Congress,,,,,,PO Box 222,,Devon,PA,193330222,,,2024-03-18,1000.00,0.00,Conduit Contribution,,C00637371,,,Houlahan,Chrissy,,,,H,PA,06,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,16988530C,16988530,SA11C,CCM,Citizens For Boyle,,,,,,PO Box 11545,,Philadelphia,PA,191160545,,,2024-03-04,5000.00,0.00,Conduit Contribution,,C00543363,,,Boyle,Brendan,,,,H,PA,02,,,,,,,X,Earmarked by Ally Financial Inc. Advocacy PAC
SB23,C00409730,17052348C,17052348,SA11C,CCM,Citizens For Boyle,,,,,,PO Box 11545,,Philadelphia,PA,191160545,,,2024-03-25,2000.00,0.00,Conduit Contribution,,C00543363,,,Boyle,Brendan,,,,H,PA,02,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17057607C,17057607,SA11C,CCM,Citizens For Boyle,,,,,,PO Box 11545,,Philadelphia,PA,191160545,,,2024-03-27,2500.00,0.00,Conduit Contribution,,C00543363,,,Boyle,Brendan,,,,H,PA,02,,,,,,,X,Earmarked by Investment Company Institute PAC
SB23,C00409730,17052330C,17052330,SA11C,CCM,Citizens To Elect Rick Larsen,,,,,,PO Box 326,,Everett,WA,982060326,,,2024-03-25,1500.00,0.00,Conduit Contribution,,C00345546,,,Larsen,Rick,R.,,,H,WA,02,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,500407809,,,PAC,Commonwealth PAC,,,,,,PO Box 383,,Merrifield,VA,221160383,,,2024-03-06,1000.00,0.00,Contribution,,C00498931,Commonwealth PAC,,,,,,,,,,,,,,,,,
SB23,C00409730,17052345C,17052345,SA11C,CCM,Courtney For Congress,,,,,,PO Box 1372,,Vernon,CT,060667372,,,2024-03-25,2500.00,0.00,Conduit Contribution,,C00410233,,,Courtney,Joe,,,,H,CT,02,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17052318C,17052318,SA11C,CCM,Darren Soto For Congress,,,,,,PO Box 420239,,Kissimmee,FL,347420239,,,2024-03-25,500.00,0.00,Conduit Contribution,,C00581074,,,Soto,Darren,,,,H,FL,09,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17052320C,17052320,SA11C,CCM,Darren Soto For Congress,,,,,,PO Box 420239,,Kissimmee,FL,347420239,,,2024-03-25,500.00,0.00,Conduit Contribution,,C00581074,,,Soto,Darren,,,,H,FL,09,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17052354C,17052354,SA11C,CCM,David Scott For Congress,,,,,,PO Box 960821,,Riverdale,GA,302960821,,,2024-03-25,2500.00,0.00,Conduit Contribution,,C00369801,,,Scott,David,,,,H,GA,13,,,,,,,X,Earmarked by Ally Financial Inc. Advocacy PAC
SB23,C00409730,17042078C,17042078,SA11C,PTY,DCCC,,,,,,430 S Capitol St SE,,Washington,DC,200034024,,,2024-03-21,100000.00,0.00,Conduit Contribution,,C00000935,DCCC,,,,,,,,,,,,,,,,X,Earmarked by Veronica Escobar for Congress
SB23,C00409730,17079303C,17079303,SA11C,PTY,DCCC,,,,,,430 S Capitol St SE,,Washington,DC,200034024,,,2024-03-29,80000.00,0.00,Conduit Contribution,,C00000935,DCCC,,,,,,,,,,,,,,,,X,Earmarked by Elizabeth Pannill Fletcher For Congress
SB23,C00409730,500407811,,,CCM,DEBORAH ROSS FOR CONGRESS,,,,,,PO Box 28258,,Raleigh,NC,276118258,P2024,,2024-03-04,1000.00,0.00,Contribution,,C00729277,,,ROSS,DEBORAH,,,,H,NC,02,,,,,,,,
SB23,C00409730,17052322C,17052322,SA11C,CCM,DEBORAH ROSS FOR CONGRESS,,,,,,PO Box 28258,,Raleigh,NC,276118258,,,2024-03-25,2500.00,0.00,Conduit Contribution,,C00729277,,,ROSS,DEBORAH,,,,H,NC,02,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17057603C,17057603,SA11C,CCM,DEBORAH ROSS FOR CONGRESS,,,,,,PO Box 28258,,Raleigh,NC,276118258,,,2024-03-27,2500.00,0.00,Conduit Contribution,,C00729277,,,ROSS,DEBORAH,,,,H,NC,02,,,,,,,X,Earmarked by THE CATERPILLAR INC. EMPLOYEE POLITICAL ACTION COMMITTEE
SB23,C00409730,500407813,,,PAC,"Defense, Economic Renewal, Education And Knowledge PAC",,,,,,119 1St Ave S,Ste 320,Seattle,WA,981043424,,,2024-03-06,1000.00,0.00,Contribution,,C00531632,"Defense, Economic Renewal, Education And Knowledge PAC",,,,,,,,,,,,,,,,,
SB23,C00409730,17060079C,17060079,SA11C,CCM,DelBene For Congress,,,,,,PO Box 487,,Bothell,WA,980410487,,,2024-03-27,1000.00,0.00,Conduit Contribution,,C00459099,,,DelBene,Suzan,,,,H,WA,01,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,500407815,,,CCM,DEREK TRAN FOR CONGRESS,,,,,,PO Box 395,,Garden Grove,CA,928420395,E2024,Recount,2024-03-21,5000.00,0.00,Contribution,,C00851790,,,TRAN,DEREK,,,,H,CA,45,,,,,,,,
SB23,C00409730,500407818,,,CCM,DON DAVIS FOR NC,,,,,,PO Box 511,,Snow Hill,NC,285800511,G2024,,2024-03-06,1000.00,0.00,Contribution,,C00795211,,,DAVIS,DON,,,,H,NC,01,,,,,,,,
SB23,C00409730,17031683C,17031683,SA11C,CCM,DON DAVIS FOR NC,,,,,,PO Box 511,,Snow Hill,NC,285800511,,,2024-03-18,1000.00,0.00,Conduit Contribution,,C00795211,,,DAVIS,DON,,,,H,NC,01,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17031784C,17031784,SA11C,CCM,DON DAVIS FOR NC,,,,,,PO Box 511,,Snow Hill,NC,285800511,,,2024-03-18,1000.00,0.00,Conduit Contribution,,C00795211,,,DAVIS,DON,,,,H,NC,01,,,,,,,X,Earmarked by AMERICAN INNOVATION POLITICAL ACTION COMMITTEE
SB23,C00409730,17042196C,17042196,SA11C,CCM,DON DAVIS FOR NC,,,,,,PO Box 511,,Snow Hill,NC,285800511,,,2024-03-21,1000.00,0.00,Conduit Contribution,,C00795211,,,DAVIS,DON,,,,H,NC,01,,,,,,,X,Earmarked by Serving Our Country (SOC) PAC
SB23,C00409730,17053565C,17053565,SA11C,CCM,DON DAVIS FOR NC,,,,,,PO Box 511,,Snow Hill,NC,285800511,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00795211,,,DAVIS,DON,,,,H,NC,01,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,17060119C,17060119,SA11C,CCM,Donald Norcross For Congress,,,,,,PO Box 160,,Collingswood,NJ,081080160,,,2024-03-27,2500.00,0.00,Conduit Contribution,,C00558320,,,Norcross,Donald,,,,H,NJ,01,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,500407819,,,CCM,Dr. Kim Schrier For Congress,,,,,,3020 Issaquah Pine Lake Rd SE,# 331,Sammamish,WA,980757253,G2024,,2024-03-11,1000.00,0.00,Contribution,,C00652628,,,Schrier,Kim,,,,H,WA,08,,,,,,,,
SB23,C00409730,17031699C,17031699,SA11C,CCM,Dr. Kim Schrier For Congress,,,,,,3020 Issaquah Pine Lake Rd SE,# 331,Sammamish,WA,980757253,,,2024-03-18,5000.00,0.00,Conduit Contribution,,C00652628,,,Schrier,Kim,,,,H,WA,08,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17031704C,17031704,SA11C,CCM,Dr. Kim Schrier For Congress,,,,,,3020 Issaquah Pine Lake Rd SE,# 331,Sammamish,WA,980757253,,,2024-03-18,4000.00,0.00,Conduit Contribution,,C00652628,,,Schrier,Kim,,,,H,WA,08,,,,,,,X,Earmarked by People For Derek Kilmer
SB23,C00409730,17042205C,17042205,SA11C,CCM,Dr. Kim Schrier For Congress,,,,,,3020 Issaquah Pine Lake Rd SE,# 331,Sammamish,WA,980757253,,,2024-03-21,1000.00,0.00,Conduit Contribution,,C00652628,,,Schrier,Kim,,,,H,WA,08,,,,,,,X,Earmarked by Serving Our Country (SOC) PAC
SB23,C00409730,17053578C,17053578,SA11C,CCM,Dr. Kim Schrier For Congress,,,,,,3020 Issaquah Pine Lake Rd SE,# 331,Sammamish,WA,980757253,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00652628,,,Schrier,Kim,,,,H,WA,08,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,16988536C,16988536,SA11C,CCM,Elizabeth Pannill Fletcher For Congress,,,,,,3262 Westheimer Rd,# 636,Houston,TX,770981002,,,2024-03-04,2500.00,0.00,Conduit Contribution,,C00640045,,,Fletcher,Elizabeth Pannill,,,,H,TX,07,,,,,,,X,Earmarked by National Multi Housing Council Political Action Committee
SB23,C00409730,17052338C,17052338,SA11C,CCM,Elizabeth Pannill Fletcher For Congress,,,,,,3262 Westheimer Rd,# 636,Houston,TX,770981002,,,2024-03-25,2500.00,0.00,Conduit Contribution,,C00640045,,,Fletcher,Elizabeth Pannill,,,,H,TX,07,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17031693C,17031693,SA11C,CCM,Emilia Sykes For Congress,,,,,,545 E Town St,,Columbus,OH,432154801,,,2024-03-18,1000.00,0.00,Conduit Contribution,,C00801274,,,SYKES,EMILIA,,,,H,OH,13,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17031790C,17031790,SA11C,CCM,Emilia Sykes For Congress,,,,,,545 E Town St,,Columbus,OH,432154801,,,2024-03-18,1000.00,0.00,Conduit Contribution,,C00801274,,,SYKES,EMILIA,,,,H,OH,13,,,,,,,X,Earmarked by AMERICAN INNOVATION POLITICAL ACTION COMMITTEE
SB23,C00409730,17042201C,17042201,SA11C,CCM,Emilia Sykes For Congress,,,,,,545 E Town St,,Columbus,OH,432154801,,,2024-03-21,1000.00,0.00,Conduit Contribution,,C00801274,,,SYKES,EMILIA,,,,H,OH,13,,,,,,,X,Earmarked by Serving Our Country (SOC) PAC
SB23,C00409730,17052314C,17052314,SA11C,CCM,Emilia Sykes For Congress,,,,,,545 E Town St,,Columbus,OH,432154801,,,2024-03-25,1500.00,0.00,Conduit Contribution,,C00801274,,,SYKES,EMILIA,,,,H,OH,13,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17053580C,17053580,SA11C,CCM,Emilia Sykes For Congress,,,,,,545 E Town St,,Columbus,OH,432154801,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00801274,,,SYKES,EMILIA,,,,H,OH,13,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,500407821,,,CCM,ERIC SORENSEN FOR ILLINOIS,,,,,,PO Box 1172,,Moline,IL,612661172,G2024,,2024-03-06,1000.00,0.00,Contribution,,C00793935,,,SORENSEN,ERIC,,,,H,IL,17,,,,,,,,
SB23,C00409730,17023155C,17023155,SA11C,CCM,ERIC SORENSEN FOR ILLINOIS,,,,,,PO Box 1172,,Moline,IL,612661172,,,2024-03-14,3000.00,0.00,Conduit Contribution,,C00793935,,,SORENSEN,ERIC,,,,H,IL,17,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,17031674C,17031674,SA11C,CCM,ERIC SORENSEN FOR ILLINOIS,,,,,,PO Box 1172,,Moline,IL,612661172,,,2024-03-18,1500.00,0.00,Conduit Contribution,,C00793935,,,SORENSEN,ERIC,,,,H,IL,17,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17031788C,17031788,SA11C,CCM,ERIC SORENSEN FOR ILLINOIS,,,,,,PO Box 1172,,Moline,IL,612661172,,,2024-03-18,500.00,0.00,Conduit Contribution,,C00793935,,,SORENSEN,ERIC,,,,H,IL,17,,,,,,,X,Earmarked by AMERICAN INNOVATION POLITICAL ACTION COMMITTEE
SB23,C00409730,17042215C,17042215,SA11C,CCM,ERIC SORENSEN FOR ILLINOIS,,,,,,PO Box 1172,,Moline,IL,612661172,,,2024-03-21,1000.00,0.00,Conduit Contribution,,C00793935,,,SORENSEN,ERIC,,,,H,IL,17,,,,,,,X,Earmarked by Serving Our Country (SOC) PAC
SB23,C00409730,17057614C,17057614,SA11C,PAC,Evergreen PAC,,,,,,499 S Capitol St SW,Ste 422,Washington,DC,200034028,,,2024-03-27,2500.00,0.00,Conduit Contribution,,C00576090,Evergreen PAC,,,,,,,,,,,,,,,,X,Earmarked by Investment Company Institute PAC
SB23,C00409730,500407822,,,PAC,Fostering Progress PAC,,,,,,PO Box 9104,,Aurora,IL,605989104,,,2024-03-06,1000.00,0.00,Contribution,,C00571943,Fostering Progress PAC,,,,,,,,,,,,,,,,,
SB23,C00409730,17060083C,17060083,SA11C,CCM,Foushee For Congress,,,,,,PO Box 16446,,Chapel Hill,NC,275166446,,,2024-03-27,2500.00,0.00,Conduit Contribution,,C00794727,,,FOUSHEE,VALERIE,,,,H,NC,04,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17057609C,17057609,SA11C,CCM,Friends For Gregory Meeks,,,,,,15301 Jamaica Ave,Ste 535,Jamaica,NY,114323921,,,2024-03-27,1000.00,0.00,Conduit Contribution,,C00430991,,,Meeks,Gregory,,,,H,NY,05,,,,,,,X,Earmarked by Investment Company Institute PAC
SB23,C00409730,17060098C,17060098,SA11C,CCM,Friends For Gregory Meeks,,,,,,15301 Jamaica Ave,Ste 535,Jamaica,NY,114323921,,,2024-03-27,2500.00,0.00,Conduit Contribution,,C00430991,,,Meeks,Gregory,,,,H,NY,05,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17001340C,17001340,SA11C,CCM,Friends Of Don Beyer,,,,,,1751 Potomac Greens Dr,,Alexandria,VA,223146233,,,2024-03-06,1500.00,0.00,Conduit Contribution,,C00555888,,,Beyer,Donald,,,Jr.,H,VA,08,,,,,,,X,"Earmarked by T-MOBILE USA, INC.  POLITICAL ACTION COMMITTEE (T-PAC)"
SB23,C00409730,17057612C,17057612,SA11C,CCM,Friends Of Don Beyer,,,,,,1751 Potomac Greens Dr,,Alexandria,VA,223146233,,,2024-03-27,1000.00,0.00,Conduit Contribution,,C00555888,,,Beyer,Donald,,,Jr.,H,VA,08,,,,,,,X,Earmarked by Investment Company Institute PAC
